sifrao,nazivo
33740000-9,Proizvodi za negu ruku i noktiju
33741000-6,Proizvodi za negu ruku
33741100-7,Sredstvo za èišæenje ruku
33741200-8,Losioni za ruke i telo
33741300-9,Sanitarna sredstva za ruke
33742000-3,Proizvodi za negu noktiju
33742100-4,Grickalice za nokte
33742200-5,Lak za nokte
33750000-2,Proizvodi za negu beba
33751000-9,Pelene za jednokratnu upotrebu
33752000-6,Upijajuæi ulošci za negu
33760000-5,"Toaletna hartija, maramice, peškiri za ruke i salvete"
33761000-2,Toaletna hartija
33762000-9,Papirne maramice
33763000-6,"Peškiri za ruke, od hartije"
33764000-3,Salvete od hartije
33770000-8,Hartija za higijensku upotrebu
33771000-5,Higijenski proizvodi od hartije
33771100-6,Higijenski ulošci ili tamponi
33771200-7,Ulošci za pelene od hartije
33772000-2,Proizvodi od hartije za jednokratnu upotrebu
33790000-4,"Laboratorijski, higijenski ili farmaceutski predmeti od stakla"
33791000-1,Proizvodi od stakla za higijenske namene
33792000-8,Proizvodi od stakla za farmaceutske namene
33793000-5,Proizvodi od stakla za laboratorijske namene
33900000-9,Oprema i materijal za obdukcije i mrtvaènice
33910000-2,Instrumenti i materijal za seciranje u patologiji
33911000-9,Makaze za obdukciju
33912000-6,Pribor za obdukciono seciranje
33912100-7,Klešta za obdukciono seciranje
33913000-3,Detektori metaka kod obdukcija
33914000-0,"Konci, igle ili hvataljke za obdukcije"
33914100-1,Konci za obdukciju
33914200-2,Igle za obdukciju
33914300-3,Hvataljke za obdukciju
33915000-7,Detektori vena kod obdukcije
33916000-4,Listovi za testere ili pribor za obdukciju
33916100-5,Testere za obdukciju
33917000-1,Ploèe ili podloge za seciranje
33918000-8,Kutije za hirurške instrumente ili pribor za obdukciju
33919000-5,Rolne za hirurške instrumente ili pribor za obdukciju
33920000-5,Oprema i materijal za obdukciju
33921000-2,Kolektori koštanog praha
33922000-9,Vreæe za transport leševa
33923000-6,"Nasloni za glavu, ploèe za telo ili viseæe vage, za obdukciju"
33923100-7,"Nasloni za glavu, za obdukciju"
33923200-8,"Ploèe za telo, za obdukciju"
33923300-9,"Viseæe vage, za obdukciju"
33924000-3,"Ispitni kompleti za infektivne bolesti, za obdukciju"
33925000-0,Identifikacione oznake ili narukvice za obdukciju
33926000-7,"Vakuumski aspiratori ili creva za sakupljanje teènosti, za obdukciju"
33927000-4,Rektalni termometri za obdukciju
33928000-1,Ureðaji za ispravljanje prstiju kod leševa
33929000-8,Kompleti sa ispunjenje tkiva kod leševa
33930000-8,Nameštaj za obdukcije
33931000-5,Sabirne radne stanice ili pribor za obdukciju
33932000-2,Korita ili pribor za obdukciju
33933000-9,Stolovi ili pribor za obdukciju
33933100-0,Stolovi za obdukciju
33934000-6,Stolovi ili pribor za nekropsiju
33935000-3,Stolovi ili pribor za seciranje mrtvih životinja
33936000-0,Radne stanice ili pribor za balzamovanje
33937000-7,Aspiratorske radne stanice ili pribor za obdukcije
33940000-1,Oprema i materijal za prevoz i èuvanje leševa
33941000-8,Police za èuvanje leševa
33942000-5,Kolica za leševe
33943000-2,Kolica za leševe sa “makaze” mehanizmom za podizanje
33944000-9,Frižideri ili zamrzivaèi za mrtvaènice
33945000-6,Rashladne komore za mrtvaènice
33946000-3,Kolica za obdukciju
33947000-0,Nosila za ruèno prenošenje leša
33948000-7,Ureðaji za podizanje ili prenošenje leša
33949000-4,Kontejneri za prevoz tela
33950000-4,Oprema i materijal za klinièku forenziku
33951000-1,Materijal za posmrtnu daktiloskopiju ili otiske
33952000-8,Oprema i pomoæni proizvodi za prevoz
33953000-5,Kompleti ili materijal za posmrtnu detekciju krvi
33954000-2,Kompleti za prikupljanje bioloških dokaza
33960000-7,Oprema i materijal za balzamovanje
33961000-4,Ureðaji za ubrizgavanje u šupljine kod balzamovanja
33962000-1,Cevi za drenažu vena pri balzamovanju
33963000-8,Teènosti ili hemikalije za balzamovanje
33964000-5,Cevi za ubrizgavanje pri balzamovanju
33965000-2,Korita ili pribor za balzamovanje
33966000-9,Kompleti za balzamovanje
33967000-6,Igle za ubrizgavanje pri balzamovanju
33968000-3,Pokrivaèi za oèi
33970000-0,Oprema i materijal za mrtvaènice
33971000-7,Zaštitna odeæa za mrtvaènice
33972000-4,Pakovanja za mrtvaènice
33973000-1,Omotaèi za mrtvaènice
33974000-8,Aspiratori za mrtvaènice
33975000-5,Mešavine za stvrdnjavanje u mrtvaènicama
34000000-7,Oprema i pomoæni proizvodi za prevoz
34100000-8,Motorna vozila
34110000-1,Putnièki automobili
34111000-8,Karavan i kombi vozila i limuzine
34111100-9,Karavan i kombi vozila
34111200-0,Limuzine
34113000-2,Vozila sa pogonom na èetiri toèka
34113100-3,Džipovi
34113200-4,ATV vozila
34113300-5,Terenska vozila
34114000-9,Specijalizovana vozila
34114100-0,Vozila interventnih službi
34114110-3,Vozila službi za spašavanje
34114120-6,Paramedicinska vozila
34114121-3,Sanitetska vozila
34114122-0,Vozila za prevoz pacijenata
34114200-1,Policijski automobili
34114210-4,Vozila za prevoz zatvorenika
34114300-2,Vozila službi za socijalnu pomoæ
34114400-3,Minibusi
34115000-6,Ostali putnièki automobili
34115200-8,Motorna vozila za prevoz manje od deset lica
34115300-9,Polovna vozila za transport
34120000-4,Motorna vozila za prevoz deset ili više lica
34121000-1,Autobusi i minibusevi
34121100-2,Autobusi za javni prevoz
34121200-3,Zglobni autobusi
34121300-4,Autobusi na sprat
34121400-5,Niskopodni autobusi
34121500-6,Minibusevi
34130000-7,Motorna vozila za prevoz robe
34131000-4,“Pick-up” vozila
34132000-1,Motorne sanke
34133000-8,Zglobni kamioni
34133100-9,Cisterne
34133110-2,Kamioni – cisterne za gorivo
34134000-5,Kamioni sa platformom i kiperi
34134100-6,Kamioni sa platformom
34134200-7,Kiperi
34136000-9,“VAN” vozila
34136100-0,Laka “VAN” vozila
34136200-1,Zatvorena “VAN” vozila
34137000-6,Polovna vozila za prevoz robe
34138000-3,Drumski tegljaèi
34139000-0,Šasije
34139100-1,Šasije sa kabinom
34139200-2,Šasije sa karoserijom
34139300-3,Kompletna šasija
34140000-0,Teška motorna vozila
34142000-4,Dizalièni i samoistovarni kamioni – damperi
34142100-5,Kamioni sa platformom koja se diže
34142200-6,Utovarivaèi
34142300-7,Samoistovarni kamioni – damperi
34143000-1,Vozila za zimsku službu
34144000-8,Motorna vozila za specijalne svrhe
34144100-9,Pokretni bušeæi tornjevi
34144200-0,Vozila za hitne službe
34144210-3,Vatrogasna vozila
34144211-0,Kamioni sa lestvicama na obrtnoj platformi
34144212-7,Protivpožarna autocisterna
34144213-4,Vozila za gašenje požara
34144220-6,"Vozila za prevlaèenje havarisanih, defektnih i drugih vozila"
34144300-1,Pokretni mostovi
34144400-2,Vozila za održavanje puteva
34144410-5,Vozila za èišæenje odvodnih kanala pored puta
34144420-8,Vozila za posipanje soli
34144430-1,Vozila za èišæenje puteva
34144431-8,Vozila za èišæenje puteva usisavanjem
34144440-4,Vozila za posipavanje peska
34144450-7,Vozila za prskanje ili polivanje
34144500-3,Vozila za odnošenje otpada i otpadnih voda
34144510-6,Vozila za odnošenje smeæa
34144511-3,Vozila za skupljanje otpada
34144512-0,Vozila za sabijanje otpada
34144520-9,Cisterne za otpadne vode
34144700-5,Komunalna vozila
34144710-8,Utovarivaèi na toèkovima
34144730-4,Vozila za punjenje letelica gorivom
34144740-7,Vozila za vuèu letelica
34144750-0,Nosaèi za prtljag
34144751-7,Kolica za utovar kontejnera
34144760-3,Mobilne biblioteke
34144800-6,Mobilne kuæe
34144900-7,Elektrièna vozila
34144910-0,Elektrièni autobusi
34150000-3,Simulatori
34151000-0,Simulatori vožnje
34152000-7,Simulatori za obuku
34200000-9,"Karoserije za vozila, prikolice ili poluprikolice"
34210000-2,Karoserije za vozila
34211000-9,"Karoserije za autobuse, za sanitetska i za teretna vozila"
34211100-9,Karoserije za autobuse
34211200-9,Karoserije za sanitetska vozila
34211300-9,Karoserije za teretna vozila
34220000-5,"Prikolice, poluprikolice i pokretni kontejneri"
34221000-2,Pokretni kontejneri za posebne namene
34221100-3,Mobilne jedinice za sluèajeve nesreæa
34221200-4,Mobilne jedinice za vanredne situacije
34221300-5,Jedinica za hemijske nesreæe
34223000-6,Prikolice i poluprikolice
34223100-7,Poluprikolice
34223200-8,Cisterne
34223300-9,Prikolice
34223310-2,Prikolice za opšte namene
34223320-5,Prikolice za prevoz konja
34223330-8,Mobilne jedinice na prikolicama
34223340-1,Prikolice cisterne
34223350-4,Prikolice sa obrtnim lestvama
34223360-7,Prikolice za punjenje gorivom
34223370-0,Samoistovarne prikolice
34223400-0,Prikolice i poluprikolice tipa karavan
34224000-3,"Delovi za prikolice, poluprikolice i druga vozila"
34224100-4,Delovi za prikolice i poluprikolice
34224200-5,Delovi za druga vozila
34300000-0,Delovi i pribor za vozila i njihove motore
34310000-3,Motori i delovi motora
34311000-0,Motori
34311100-1,Motori sa unutrašnjim sagorevanjem za motorna vozila i motocikle
34311110-4,Motori na paljenje pomoæu sveæice
34311120-7,Motori na paljenje pomoæu kompresije
34312000-7,Delovi za motore
34312100-8,Remeni ventilatora
34312200-9,Sveæice
34312300-0,Hladnjaci za vozila
34312400-1,Klipovi
34312500-2,Zaptivaèi
34312600-3,Transportne trake od gume
34312700-4,Trake za prenos od gume
34320000-6,"Mehanièki rezervni delovi, osim motora i delova motora"
34321000-3,Osovine i menjaèi
34321100-4,Osovine
34321200-5,Menjaèi
34322000-0,Koènice i delovi koènica
34322100-1,Oprema za koènice
34322200-2,Disk koènice
34322300-3,Koèione obloge
34322400-4,Koèione ploèice
34322500-5,Koèione papuèice
34324000-4,"Toèkovi, delovi i pribor za toèkove"
34324100-5,Oprema za balansiranje toèkova
34325000-1,Izduvni lonci i izduvne cevi
34325100-2,Izduvni lonci
34325200-3,Izduvne cevi
34326000-8,"Dizalice za vozila, kvaèila i pripadajuæi delovi"
34326100-9,Ukljuèno iskljuène spojnice i pripadajuæi delovi
34326200-0,Dizalice za vozila
34327000-5,"Upravljaèki volani, stubovi i kutije upravljaèkog mehanizma"
34327100-6,Upravljaèki volani
34327200-7,Stubovi upravljaèa i kutije upravljaèkog mehanizma
34328000-2,"Ispitni stolovi, oprema za konverziju vozila i sigurnosni pojasevi"
34328100-3,Ispitni stolovi
34328200-4,Oprema za konverziju vozila
34328300-5,Sigurnosni pojasevi
34330000-9,"Rezervni delovi za teretna vozila, dostavna vozila i automobile"
34350000-5,Gume za teška i laka vozila
34351000-2,Gume za laka optereæenja
34351100-3,Gume za automobile
34352000-9,Gume za teška optereæenja
34352100-0,Gume za kamione
34352200-1,Gume za autobuse
34352300-2,Gume za poljoprivredna vozila
34360000-8,Sedišta za civilne letelice
34370000-1,Sedišta za motorna vozila
34390000-7,Pribor za traktore
34400000-1,"Motocikli, bicikli i boène prikolice"
34410000-4,Motocikli
34411000-1,Delovi i pribor za motocikle
34411100-2,Boène prikolice za motocikle
34411110-5,Delovi i pribor za boène prikolice za motocikle
34411200-3,Gume za motocikle
34420000-7,Mopedi i bicikli sa pomoænim motorom
34421000-7,Mopedi
34422000-7,Bicikli sa pomoænim motorom
34430000-0,Bicikli
34431000-7,Bicikli bez motornog pogona
34432000-4,Delovi i pribor za bicikle
34432100-5,Gume za bicikle
34500000-2,Brodovi i èamci
34510000-5,Brodovi
34511100-3,Pomorski patrolni èamci
34512000-9,Brodovi i slièna plovila za prevoz ljudi ili robe
34512100-0,Trajekti
34512200-1,Brodovi za krstarenje
34512300-2,Brodovi za prevoz rasutog tereta
34512400-3,Teretni brodovi
34512500-4,Brodovi za prevoz robe
34512600-5,Brodovi za prevoz kontejnera
34512700-6,Plovila za utovar i istovar robe na toèkovima (“ro-ro” plovila)
34512800-7,Tankeri
34512900-8,Brodovi za prevoz automobila
34512950-3,Brodovi hladnjaèe
34513000-6,Ribarski i interventni brodovi i druga posebna plovila
34513100-7,Ribarski brodovi
34513150-2,Brodovi fabrike
34513200-8,Brodovi tegljaèi (remorkeri)
34513250-3,Brodovi bageri
34513300-9,Ploveæi morski dokovi
34513350-4,Brodovi za podvodne aktivnosti
34513400-0,Plovne dizalice
34513450-5,Proizvodna plovila
34513500-1,Plovila za seizmièka ispitivanja
34513550-6,Istraživaèki brodovi
34513600-2,Plovila za kontrolu zagaðenja
34513650-7,Vatrogasna plovila
34513700-3,Brodovi za spašavanje
34513750-8,Laka plovila
34514000-3,Ploveæe ili uronjive platforme za bušenje ili proizvodnju
34514100-4,Brodovi za bušenje
34514200-5,Samopodižuæe platforme
34514300-6,Platforme sa garniturom za bušenje
34514400-7,Ploveæe platforme za bušenje
34514500-8,Ploveæi proizvodni objekt
34514600-9,Polu-uronjivi bušeæi tornjevi
34514700-0,Mobilne platforme
34514800-1,Platforme na otvorenom moru
34514900-2,Platforme za bušenje
34515000-0,Ploveæe konstrukcije
34515100-1,Marker bove (plutaèe)
34515200-2,Splavovi na naduvavanje
34516000-7,Morski odbojnici
34520000-8,Èamci
34521000-5,Èamci za posebne namene
34521100-6,Èamci za nadzor
34521200-7,Patrolni èamci carinske službe
34521300-8,Policijski patrolni èamci
34521400-9,Èamci za spašavanje
34522000-2,Èamci za sport i rekreaciju
34522100-3,Jedrilice
34522150-8,Katamarani
34522200-4,Mali èamci za spašavanje
34522250-9,Male jedrilice
34522300-5,Mali èamci
34522350-0,Mali èamci od fiberglasa
34522400-6,Poluèvrsti mali èamci
34522450-1,Plovila na naduvavanje
34522500-7,Mali gumeni èamci
34522550-2,Kanui
34522600-8,Èamci na vesla
34522700-9,Pedaline
34600000-3,Železnièke i tramvajske lokomotive i šinska vozila i pripadajuæi delovi
34610000-6,Železnièke lokomotive i tenderi
34611000-3,Lokomotive
34612000-0,Tenderi za lokomotive i uspinjaèe
34612100-1,Tenderi za lokomotive
34612200-2,Uspinjaèe
34620000-9,Železnièka šinska vozila
34621000-6,Železnièka vozila za održavanje ili servisiranje i železnièki teretni vagoni
34621100-7,Železnièki teretni vagoni
34621200-8,Železnièka vozila za održavanje ili servisiranje
34622000-3,Železnièki i tramvajski putnièki vagoni i trolejbusi
34622100-4,Tramvajski putnièki vagoni
34622200-5,Železnièki putnièki vagoni
34622300-6,Trolejbusi
34622400-7,Železnièke putnièke kompozicije
34622500-8,Vagoni za prtljag i vagoni za posebne namene
34630000-2,"Delovi železnièkih ili tramvajskih lokomotiva ili šinskih vozila, oprema za kontrolu železnièkog saobraæaja"
34631000-9,Delovi lokomotiva ili šinskih vozila
34631100-0,Monoblok toèkovi
34631200-1,Odbojnici i vuèni ureðaji
34631300-2,Sedišta za šinska vozila
34631400-3,Osovine toèkova i pneumatika i drugi delovi lokomotiva ili šinskih vozila
34632000-6,Oprema za kontrolu železnièkog saobraæaja
34632100-7,Mehanièka oprema za signalizaciju
34632200-8,Elektrièna oprema za signalizaciju za železnièki saobraæaj
34632300-9,Elektriène instalacije za železnicu
34640000-5,Samohodni elementi
34700000-4,Vazduhoplovi i svemirske letelice
34710000-7,"Helikopteri, avioni, svemirske letelice i druge letelice na sopstveni pogon"
34711000-4,Helikopteri i avioni
34711100-5,Avioni
34711110-8,Vazduhoplovi sa fiksnim krilom
34711200-6,Bespilotne letelice
34711300-7,Vazduhoplovi sa posadom
34711400-8,Vazduhoplovi za posebne namene
34711500-9,Helikopteri
34712000-1,"Svemirske letelice, sateliti i lansirne letilice"
34712100-2,Svemirske letelice
34712200-3,Sateliti
34712300-4,Lanseri svemirskih letelica
34720000-0,"Baloni, dirižabli i drugi vazduhoplovi bez sopstvenog pogona"
34721000-7,Jedrilice
34721100-8,Zmajevi
34722000-4,Baloni i dirižabli
34722100-5,Baloni
34722200-6,Dirižabli
34730000-3,"Delovi vazduhoplova, svemirskih letelica i helikoptera"
34731000-0,Delovi vazduhoplova
34731100-1,Motori vazduhoplova
34731200-2,Turbomlazni motori
34731300-3,Turbopropelerni motori
34731400-4,Mlazni motori
34731500-5,Delovi za motor vazduhoplova
34731600-6,Delovi turbomlaznih ili turbopropelernih motora
34731700-7,Delovi helikoptera
34731800-8,Gume za vazduhoplov
34740000-6,"Oprema za vazduhoplove i svemirske letelice, trenažeri, ureðaji za simuliranje leta i pripadajuæi delovi"
34741000-3,Oprema za vazduhoplove
34741100-4,Oprema za lansiranje vazduhoplova
34741200-5,Sistemi za katapultiranje vazduhoplova
34741300-6,Sistem za brzo zaustavljanje vazduhoplova na palubi
34741400-7,Ureðaj za simuliranje leta
34741500-8,Ureðaji za letaèku obuku na zemlji (trenažeri)
34741600-9,Kese za povraæanje
34900000-6,Razna oprema za prevoz i rezervni delovi
34910000-9,"Konjske zaprege ili ruèna kolica, druga vozila bez mehanièkog pogona, kolica za prtljag i razni rezervni delovi"
34911000-6,"Konjske zaprege ili ruèna kolica, druga vozila bez mehanièkog pogona"
34911100-7,Ruèna kolica
34912000-3,Kolica za prtljag
34912100-4,Deèija kolica
34913000-0,Razni rezervni delovi
34913100-1,Polovne gume
34913200-2,Protektirane gume
34913300-3,Odbojnici
34913400-4,Satovi za vozila
34913500-5,Brave za vozila
34913510-8,Brave za bicikle
34913600-6,Brodski propeleri
34913700-7,Lestve za vatrogasna vozila
34913800-8,Sidra
34920000-2,Drumska oprema
34921000-9,Oprema za održavanje puteva
34921100-0,Vozila za èišæenje puteva
34921200-1,Vozila za èišæenje poletno-sletnih staza
34922000-6,Oprema za obeležavanje puteva
34922100-7,Oznake na putevima
34922110-0,Staklene kuglice za oznaèavanje puteva
34923000-3,Oprema za kontrolu drumskog saobraæaja
34924000-0,Oznake sa smenjujuæim porukama
34926000-4,Oprema za nadzor parkirališta
34927000-1,Oprema za naplatu putarine
34927100-2,So za posipanje puteva
34928000-8,Saobraæajna oprema
34928100-9,Branici na putevima
34928110-2,Prepreke za postavljanje na puteve
34928120-5,Delovi prepreka za postavljanje na puteve
34928200-0,Ograde
34928210-3,Drveni stubovi
34928220-6,Komponente za postavljanje ograda
34928230-9,Zaštita od buke
34928300-1,Sigurnosni branici
34928310-4,Sigurnosne ograde
34928320-7,Zaštitne ograde
34928330-0,Ograde za zaštitu od lavine
34928340-3,Ograde za sneg
34928400-2,Urbana oprema
34928410-5,Oznake smera
34928420-8,Upozoravajuæa svetla na putu
34928430-1,Svetlosne oznake na putu
34928440-4,Stubovi za autobuska stajališta
34928450-7,Stubiæi na putu
34928460-0,Èunjevi za obeležavanje na putevima
34928470-3,Signalizacija
34928471-0,Materijali za postavljanje oznaka
34928472-7,Putokazi
34928480-6,Korpe i koševi za otpad i smeæe
34928500-3,Oprema za uliènu rasvetu
34928510-6,Stubovi za uliènu rasvetu
34928520-9,Bandere za svetiljke
34928530-2,Uliène svetiljke
34929000-5,Materijali za autoputeve
34930000-5,Pomorska oprema
34931000-2,Luèka oprema
34931100-3,Ureðaji za pristajanje uz dokove
34931200-4,Mostiæi za ukrcavanje putnika na brod
34931300-5,Stepenice za ukrcavanje putnika na brod
34931400-6,Simulatori komandnog mosta broda
34931500-7,Oprema za kontrolu pomorskog saobraæaja
34932000-9,Radari
34933000-6,Navigaciona oprema
34934000-3,Lopatice propelera
34940000-8,Oprema za saobraæaj na železnièkim prugama
34941000-5,Šine i šinski pribor
34941100-6,Poluge
34941200-7,Železnièki kolosek
34941300-8,Tramvajske šine
34941500-0,Ukrsne glave
34941600-1,Skretnice
34941800-3,Jezièak skretnice
34942000-2,Oprema za signalizaciju
34942100-3,Stubovi za signalizaciju
34942200-4,Signalne postavnice
34943000-9,Sistem za praæenje kretanja vozova
34944000-6,Grejaèi skretnica
34945000-3,Ureðaji za poravnavanje šina
34946000-0,Materijal i delovi za izgradnju železnièkih koloseka
34946100-1,Materijal za izgradnju železnièkih koloseka
34946110-4,Šine
34946120-7,Materijal za železnièke pruge
34946121-4,Vezice i prièvrsne ploèice
34946122-1,Šine voðice
34946200-2,Delovi za izgradnju železnièkih koloseka
34946210-5,Šine-provodnici (kontaktne šine)
34946220-8,"Skretnièki jezièci, srcišta, potezne motke i drugi delovi skretnica"
34946221-5,Skretnièki jezièci
34946222-2,Srcišta
34946223-9,Potezne motke
34946224-6,Delovi skretnica
34946230-1,"Prièvrsne ploèice, distantne šipke i motke"
34946231-8,Prièvrsne ploèice
34946232-5,Distantne šipke i motke
34946240-4,Šinske stolice i klinovi šinskih stolica
34947000-7,Pragovi i delovi pragova
34947100-8,Pragovi
34947200-9,Delovi pragova
34950000-1,Noseæa oprema
34951000-8,Prilazne platforme
34951200-0,Oprema za tretman kanalizacijskog mulja
34951300-1,Ureðaj za sušenje kanalizacijskog mulja
34952000-5,Èekrci hidrauliènih platformi
34953000-2,Prilazne rampe
34953100-3,Rampe za trajekte
34953300-5,Pristupne staze za putnike
34954000-9,Mostne dizalice
34955000-6,Plivajuæi dok
34955100-7,Ploveæa skladišna jedinica
34960000-4,Aerodromska oprema
34961000-1,Sistem za prijem i otpremu prtljaga prtljagom
34961100-2,Oprema za prijem i otpremu prtljaga
34962000-8,Oprema za kontrolu letenja
34962100-9,Oprema za aerodromske kontrolne tornjeve
34962200-0,Kontrola letenja
34962210-3,Simulacija kontrole letenja
34962220-6,Sistemi kontrole letenja
34962230-9,Obuka za kontrolu letenja
34963000-5,Instrumentalni sistem za sletanje (ILS)
34964000-2,Visokofrekventni dopler VOR ureðaj (DVOR)
34965000-9,Oprema za merenje udaljenosti (DME)
34966000-6,Radio-goniometar i neusmereni radio-far
34966100-7,Radio-goniometar (RDF)
34966200-8,Neusmereni radio-far (NDB)
34967000-3,Aerodromski komunikacioni sistem (COM)
34968000-0,Aerodromski nadzorni sistem i sistem aerodromskih svetala
34968100-1,Aerodromski sistem nadzora vazdušnog saobraæaja (SUR)
34968200-2,Vizuelni sistem pokazivaèa nagiba prilaza (PAPI)
34969000-7,Mostovi i stepenice za ukrcavanje putnika u vazduhoplov
34969100-8,Mostovi za ukrcavanje putnika u vazduhoplov
34969200-9,Stepenice za ukrcavanje putnika u vazduhoplov
34970000-7,Oprema za kontrolu saobraæaja
34971000-4,Kamera za kontrolu brzine
34972000-1,Sistem merenja protoka saobraæaja
34980000-0,Karte za prevoz
34990000-3,"Oprema za nadzor, sigurnost, signalizaciju i rasvetu"
34991000-0,Svetla za rad na terenu
34992000-7,Znaci i osvetljeni znaci
34992100-8,Osvetljeni saobraæajni znaci
34992200-9,Putne oznake
34992300-0,Uliène oznake
34993000-4,Putna rasveta
34993100-5,Rasveta u tunelima
34994000-1,Svetla za navoðenje i rasvetu brodova
34994100-2,Svetla za navoðenje i rasvetu u reènoj plovidbi
34995000-8,Svetla za voðenje vazduhoplova i osvetljavanje
34996000-5,"Oprema za nadzor, sigurnost ili signalizaciju u drumskom saobraæaju"
34996100-6,Semafori
34996200-7,"Oprema za nadzor, sigurnost ili signalizaciju u reènom saobraæaju"
34996300-8,"Oprema za nadzor, sigurnost ili signalizaciju na parkiralištima"
34997000-2,"Kontrolna, bezbednosna ili signalna oprema na aerodromima"
34997100-3,Ureðaj za snimanje parametara leta
34997200-4,Sistem svetlosnog obeležavanja na aerodromu
34997210-7,Svetla na poletno-sletnoj stazi
34998000-9,"Oprema za nadzor, sigurnost i signalizaciju luèkih objekata"
34999000-6,"Generatori signala, razdelnici antenskih signala i mašine za galvanotehniku"
34999100-7,Generatori signala
34999200-8,Razdelnici antenskih signala
34999300-9,Mašine za galvanotehniku
34999400-0,Makete modela
34999410-3,Umanjeni modeli aviona
34999420-6,Makete brodova
35000000-4,"Sigurnosna, vatrogasna, policijska i odbrambena oprema"
35100000-5,Sigurnosna oprema i oprema za vanredne situacije
35110000-8,"Vatrogasna oprema, oprema za spašavanje i sigurnosna oprema"
35111000-5,Vatrogasna oprema
35111100-6,Aparati za disanje pri gašenju požara
35111200-7,Materijal za gašenje požara
35111300-8,Aparati za gašenje požara
35111310-1,Pena za punjenje aparata za gašenje požara
35111320-4,Prenosni aparati za gašenje požara
35111400-9,Oprema za evakuaciju od požara
35111500-0,Sistem za gašenje plamena
35111510-3,Ruèno oruðe za gašenje plamena
35111520-6,Pena za gašenje plamena ili slièna jedinjenja
35112000-2,Oprema za spašavanje i vanredne situacije
35112100-3,Lutke za obuku za vanredne situacije
35112200-4,Tuševi za vanredne situacije
35112300-5,Ispiraè za oèi
35113000-9,Sigurnosna oprema
35113100-0,Oprema za obezbeðenje lokacije
35113110-0,Sistem za zaštitu nuklearnog reaktora
35113200-1,"Oprema za nuklearnu, biološku, hemijsku i radiološku zaštitu"
35113210-4,Oprema za nuklearnu zaštitu
35113300-2,Sigurnosne instalacije
35113400-3,Zaštitna i sigurnosna odeæa
35113410-6,Odevni predmeti za biološku ili hemijsku zaštitu
35113420-9,Odeæa za nuklearnu i radiološku zaštitu
35113430-2,Zaštitni prsluci
35113440-5,Reflektujuæi prsluci
35113450-8,Zaštitni kaputi ili ponèa
35113460-1,Zaštitne èarape
35113470-4,Zaštitne košulje ili pantalone
35113480-7,Zaštitne narukvice
35113490-0,Zaštitni mantil
35120000-1,Nadzorni i sigurnosni sistemi i ureðaji
35121000-8,Sigurnosna oprema
35121100-9,Zvuèni signali
35121200-0,Detektor falsifikovanog novca
35121300-1,Sigurnosna oprema
35121400-2,Sigurnosne torbe
35121500-3,Zatvaraèi
35121600-4,Oznake
35121700-5,Alarmni sistemi
35121800-6,Konveksna sigurnosna ogledala
35121900-7,Detektori radara
35123000-2,Oprema za odreðivanje lokacije
35123100-3,Sistem magnetnih kartica
35123200-4,Oprema za evidenciju kliznog radnog vremena
35123300-5,Sistem evidencije vremena
35123400-6,Identifikacione znaèke
35123500-7,Video sistemi za identifikaciju
35124000-9,Detektori metala
35125000-6,Sistem nadzora
35125100-7,Senzori
35125110-0,Biometrijski senzori
35125200-8,Sistem kontrole vremena ili za beleženje radnog vremena
35125300-2,Sigurnosne kamere
35126000-3,Oprema za skeniranje linijskog koda (bar-koda)
35200000-6,Policijska oprema
35210000-9,Mete za streljane
35220000-2,Oprema za smirivanje uliènih nereda
35221000-9,Vodeni topovi
35230000-5,Policijske lisice
35240000-8,Sirene
35250000-1,Sredstva za odvraæanje (repelenti) od napada pasa
35260000-4,Policijske oznake
35261000-1,Oglasne table
35261100-2,Signalne table sa smenjujuæim porukama
35262000-8,Signalna oprema za regulisanje saobraæaja na raskrsnicama
35300000-7,"Oružje, municija i pripadajuæi delovi"
35310000-0,Razno oružje
35311000-7,"Maèevi, sablje, bajoneti i koplja"
35311100-8,Maèevi
35311200-9,Sablje
35311300-0,Bajonete
35311400-1,Koplja
35312000-4,Gasne puške
35320000-3,Vatreno oružje
35321000-0,Lako vatreno oružje
35321100-1,Ruèno oružje
35321200-2,Puške
35321300-3,Mitraljezi
35322000-7,Artiljerija
35322100-8,Protivvazdušna artiljerija
35322200-9,Samohodna artiljerija
35322300-0,Vuèna artiljerija
35322400-1,Minobacaèi
35322500-2,Haubice
35330000-6,Municija
35331000-3,Municija za vatreno oružje i borbu
35331100-4,Meci
35331200-5,Topovske granate
35331300-3,Granate
35331400-7,Nagazne mine
35331500-8,Èaure
35332000-0,Municija za pomorsko ratovanje
35332100-1,Torpeda
35332200-2,Morske mine
35333000-7,Municija za vazdušno ratovanje
35333100-8,Bombe
35333200-9,Rakete
35340000-9,Delovi vatrenog oružja i municije
35341000-6,Delovi lakog vatrenog oružja
35341100-7,Pribor za cevi vatrenog oružja
35342000-3,Delovi raketnih lansera
35343000-0,Delovi minobacaèa
35400000-8,Vojna vozila i pripadajuæi delovi
35410000-1,Oklopna vojna vozila
35411000-8,Borbeni tenkovi
35411100-9,Glavni borbeni tenkovi
35411200-0,Laki borbeni tenkovi
35412000-5,Oklopna borbena vozila
35412100-6,Pešadijska borbena vozila
35412200-7,Oklopni transporteri za prevoz vojnika na borbenom položaju
35412300-8,Oklopni transporteri – nosioci oružja
35412400-9,Izviðaèka i patrolna vozila
